Index,Date,MaxTemp
0,2018-01-01,58
1,2018-01-02,59
2,2018-01-03,60
3,2018-01-04,49
4,2018-01-05,46
5,2018-01-06,45
6,2018-01-07,47
7,2018-01-08,45
8,2018-01-09,45
9,2018-01-10,40
10,2018-01-11,46
11,2018-01-12,55
12,2018-01-13,64
13,2018-01-14,58
14,2018-01-15,56
15,2018-01-16,51
16,2018-01-17,56
17,2018-01-18,47
18,2018-01-19,35
19,2018-01-20,39
20,2018-01-21,37
21,2018-01-22,38
22,2018-01-23,46
23,2018-01-24,43
24,2018-01-25,31
25,2018-01-26,32
26,2018-01-27,47
27,2018-01-28,66
28,2018-01-29,62
29,2018-01-30,57
30,2018-01-31,58
31,2018-02-01,63
32,2018-02-02,65
33,2018-02-03,67
34,2018-02-04,63
35,2018-02-05,60
36,2018-02-06,59
37,2018-02-07,61
38,2018-02-08,63
39,2018-02-09,62
40,2018-02-10,51
41,2018-02-11,47
42,2018-02-12,40
43,2018-02-13,46
44,2018-02-14,42
45,2018-02-15,50
46,2018-02-16,52
47,2018-02-17,53
48,2018-02-18,39
49,2018-02-19,27
50,2018-02-20,29
51,2018-02-21,35
52,2018-02-22,26
53,2018-02-23,34
54,2018-02-24,31
55,2018-02-25,43
56,2018-02-26,29
57,2018-02-27,41
58,2018-02-28,36
59,2018-03-01,32
60,2018-03-02,26
61,2018-03-03,26
62,2018-03-04,33
63,2018-03-05,60
64,2018-03-06,M
65,2018-03-07,67
66,2018-03-08,46
67,2018-03-09,45
68,2018-03-10,44
69,2018-03-11,52
70,2018-03-12,53
71,2018-03-13,45
72,2018-03-14,31
73,2018-03-15,31
74,2018-03-16,30
75,2018-03-17,30
76,2018-03-18,39
77,2018-03-19,45
78,2018-03-20,42
79,2018-03-21,46
80,2018-03-22,42
81,2018-03-23,38
82,2018-03-24,30
83,2018-03-25,33
84,2018-03-26,45
85,2018-03-27,58
86,2018-03-28,64
87,2018-03-29,64
88,2018-03-30,63
89,2018-03-31,60
90,2018-04-01,59
91,2018-04-02,55
92,2018-04-03,57
93,2018-04-04,59
94,2018-04-05,53
95,2018-04-06,47
96,2018-04-07,48
97,2018-04-08,53
98,2018-04-09,67
99,2018-04-10,58
100,2018-04-11,48
101,2018-04-12,35
102,2018-04-13,54
103,2018-04-14,58
104,2018-04-15,50
105,2018-04-16,29
106,2018-04-17,43
107,2018-04-18,40
108,2018-04-19,48
109,2018-04-20,62
110,2018-04-21,67
111,2018-04-22,65
112,2018-04-23,67
113,2018-04-24,68
114,2018-04-25,71
115,2018-04-26,68
116,2018-04-27,50
117,2018-04-28,45
118,2018-04-29,42
119,2018-04-30,46
120,2018-05-01,56
121,2018-05-02,58
122,2018-05-03,62
123,2018-05-04,68
124,2018-05-05,67
125,2018-05-06,63
126,2018-05-07,70
127,2018-05-08,71
128,2018-05-09,63
129,2018-05-10,64
130,2018-05-11,58
131,2018-05-12,60
132,2018-05-13,60
133,2018-05-14,66
134,2018-05-15,61
135,2018-05-16,54
136,2018-05-17,54
137,2018-05-18,64
138,2018-05-19,64
139,2018-05-20,61
140,2018-05-21,62
141,2018-05-22,62
142,2018-05-23,61
143,2018-05-24,65
144,2018-05-25,49
145,2018-05-26,48
146,2018-05-27,69
147,2018-05-28,72
148,2018-05-29,74
149,2018-05-30,66
150,2018-05-31,53
151,2018-06-01,69
152,2018-06-02,76
153,2018-06-03,77
154,2018-06-04,73
155,2018-06-05,69
156,2018-06-06,67
157,2018-06-07,67
158,2018-06-08,68
159,2018-06-09,56
160,2018-06-10,62
161,2018-06-11,73
162,2018-06-12,77
163,2018-06-13,77
164,2018-06-14,75
165,2018-06-15,70
166,2018-06-16,66
167,2018-06-17,58
168,2018-06-18,67
169,2018-06-19,74
170,2018-06-20,74
171,2018-06-21,77
172,2018-06-22,81
173,2018-06-23,82
174,2018-06-24,82
175,2018-06-25,77
176,2018-06-26,77
177,2018-06-27,75
178,2018-06-28,69
179,2018-06-29,74
180,2018-06-30,84
181,2018-07-01,83
182,2018-07-02,82
183,2018-07-03,74
184,2018-07-04,69
185,2018-07-05,71
186,2018-07-06,77
187,2018-07-07,79
188,2018-07-08,79
189,2018-07-09,79
190,2018-07-10,79
191,2018-07-11,81
192,2018-07-12,82
193,2018-07-13,79
194,2018-07-14,82
195,2018-07-15,83
196,2018-07-16,84
197,2018-07-17,84
198,2018-07-18,86
199,2018-07-19,86
200,2018-07-20,81
201,2018-07-21,80
202,2018-07-22,80
203,2018-07-23,83
204,2018-07-24,84
205,2018-07-25,88
206,2018-07-26,89
207,2018-07-27,86
208,2018-07-28,85
209,2018-07-29,83
210,2018-07-30,84
211,2018-07-31,86
212,2018-08-01,84
213,2018-08-02,82
214,2018-08-03,80
215,2018-08-04,76
216,2018-08-05,76
217,2018-08-06,79
218,2018-08-07,81
219,2018-08-08,83
220,2018-08-09,85
221,2018-08-10,87
222,2018-08-11,84
223,2018-08-12,82
224,2018-08-13,81
225,2018-08-14,80
226,2018-08-15,80
227,2018-08-16,80
228,2018-08-17,81
229,2018-08-18,83
230,2018-08-19,83
231,2018-08-20,80
232,2018-08-21,76
233,2018-08-22,75
234,2018-08-23,74
235,2018-08-24,71
236,2018-08-25,73
237,2018-08-26,72
238,2018-08-27,71
239,2018-08-28,71
240,2018-08-29,72
241,2018-08-30,68
242,2018-08-31,70
243,2018-09-01,78
244,2018-09-02,84
245,2018-09-03,83
246,2018-09-04,82
247,2018-09-05,79
248,2018-09-06,79
249,2018-09-07,81
250,2018-09-08,78
251,2018-09-09,78
252,2018-09-10,76
253,2018-09-11,73
254,2018-09-12,61
255,2018-09-13,60
256,2018-09-14,65
257,2018-09-15,61
258,2018-09-16,66
259,2018-09-17,67
260,2018-09-18,68
261,2018-09-19,68
262,2018-09-20,75
263,2018-09-21,75
264,2018-09-22,73
265,2018-09-23,71
266,2018-09-24,75
267,2018-09-25,80
268,2018-09-26,82
269,2018-09-27,81
270,2018-09-28,77
271,2018-09-29,60
272,2018-09-30,63
273,2018-10-01,64
274,2018-10-02,67
275,2018-10-03,59
276,2018-10-04,48
277,2018-10-05,58
278,2018-10-06,58
279,2018-10-07,61
280,2018-10-08,65
281,2018-10-09,60
282,2018-10-10,56
283,2018-10-11,61
284,2018-10-12,69
285,2018-10-13,70
286,2018-10-14,60
287,2018-10-15,67
288,2018-10-16,68
289,2018-10-17,65
290,2018-10-18,65
291,2018-10-19,73
292,2018-10-20,68
293,2018-10-21,66
294,2018-10-22,64
295,2018-10-23,60
296,2018-10-24,63
297,2018-10-25,68
298,2018-10-26,69
299,2018-10-27,67
300,2018-10-28,62
301,2018-10-29,54
302,2018-10-30,62
303,2018-10-31,66
304,2018-11-01,68
305,2018-11-02,67
306,2018-11-03,71
307,2018-11-04,65
308,2018-11-05,63
309,2018-11-06,65
310,2018-11-07,58
311,2018-11-08,54
312,2018-11-09,60
313,2018-11-10,57
314,2018-11-11,60
315,2018-11-12,61
316,2018-11-13,56
317,2018-11-14,61
318,2018-11-15,60
319,2018-11-16,61
320,2018-11-17,59
321,2018-11-18,60
322,2018-11-19,58
323,2018-11-20,57
324,2018-11-21,46
325,2018-11-22,37
326,2018-11-23,44
327,2018-11-24,48
328,2018-11-25,51
329,2018-11-26,52
330,2018-11-27,47
331,2018-11-28,41
332,2018-11-29,39
333,2018-11-30,36
334,2018-12-01,31
335,2018-12-02,33
336,2018-12-03,38
337,2018-12-04,42
338,2018-12-05,39
339,2018-12-06,46
340,2018-12-07,44
341,2018-12-08,M
342,2018-12-09,46
343,2018-12-10,47
344,2018-12-11,54
345,2018-12-12,53
346,2018-12-13,56
347,2018-12-14,49
348,2018-12-15,48
349,2018-12-16,45
350,2018-12-17,40
351,2018-12-18,42
352,2018-12-19,58
353,2018-12-20,50
354,2018-12-21,41
355,2018-12-22,53
356,2018-12-23,45
357,2018-12-24,40
358,2018-12-25,40
359,2018-12-26,49
360,2018-12-27,35
361,2018-12-28,40
362,2018-12-29,57
363,2018-12-30,48
364,2018-12-31,33
365,2019-01-01,40
366,2019-01-02,52
367,2019-01-03,49
368,2019-01-04,46
369,2019-01-05,41
370,2019-01-06,35
371,2019-01-07,43
372,2019-01-08,46
373,2019-01-09,39
374,2019-01-10,46
375,2019-01-11,50
376,2019-01-12,49
377,2019-01-13,48
378,2019-01-14,42
379,2019-01-15,36
380,2019-01-16,41
381,2019-01-17,39
382,2019-01-18,40
383,2019-01-19,46
384,2019-01-20,43
385,2019-01-21,34
386,2019-01-22,46
